Coordinates of all the alpha-satellite arrays in the mPanPan1 assembly	Coordinates of the active alpha-satellite HOR array in the mPanPan1 assembly	Coordinates of all the alpha-satellite arrays in the mPanTro3 assembly	Coordinates of the active alpha-satellite HOR array in the mPanTro3 assembly	Coordinates of all the alpha-satellite arrays in the mGorGor1 assembly	Coordinates of the active alpha-satellite HOR array in the mGorGor1 assembly	Coordinates of all the alpha-satellite arrays in the mPonPyg2 assembly	Coordinates of the active alpha-satellite HOR array in the mPonPyg2 assembly	Coordinates of all the alpha-satellite arrays in the mPonAbe1 assembly	Coordinates of the active alpha-satellite HOR array in the mPonAbe1 assembly
chr1_mat_hsa1:100015143-101132738	chr1_mat_hsa1:100515166-100608340	chr1_hap1_hsa1:99680026-105578016	chr1_hap1_hsa1:101356245-105077980	chr1_mat_hsa1:108335251-117882344	chr1_mat_hsa1:109707280-116094087	chr1_hap1_hsa1:100660506-106806910	chr1_hap1_hsa1:101842005-105807019	chr1_hap1_hsa1:100871661-109786569	chr1_hap1_hsa1:102049210-108679445
chr2_mat_hsa3:89949994-92208367	chr2_mat_hsa3:91546568-91681541	chr2_hap1_hsa3:94093960-97567044	chr2_hap1_hsa3:95377234-96885865	chr2_mat_hsa3:100002040-105358110	chr2_mat_hsa3:101340430-104730571	chr2_hap1_hsa3:19685336-32017562	chr2_hap1_hsa3:20185348-31517563	chr2_hap1_hsa3:38796291-51643728	chr2_hap1_hsa3:39296289-51143701
chr3_mat_hsa4:77701725-79548060	chr3_mat_hsa4:78527064-78595336	chr3_hap1_hsa4:77547668-82651708	chr3_hap1_hsa4:78976583-81373970	chr3_mat_hsa4:75289862-82412937	chr3_mat_hsa4:76300990-81912936	chr3_hap1_hsa4:68522468-79063829	chr3_hap1_hsa4:69022514-78522786	chr3_hap1_hsa4:67070608-87717357	chr3_hap1_hsa4:67570654-87171179
chr4_mat_hsa5:63175684-64896130	chr4_mat_hsa5:63833468-64104446	chr4_hap1_hsa5:63890787-67363968	chr4_hap1_hsa5:64529204-66595708	chr4_mat_hsa17x5:70824169-77523297	chr4_mat_hsa17x5:71647599-77023299	chr4_hap1_hsa5:45895726-55973145	chr4_hap1_hsa5:47006431-55214792	chr4_hap1_hsa5:45979349-59781941	chr4_hap1_hsa5:47075673-59126773
chr5_mat_hsa6:68495178-70266193	chr5_mat_hsa6:69079959-69132641	chr5_hap1_hsa6:63891882-66454487	chr5_hap1_hsa6:64391884-65466266	chr5_mat_hsa6:75454768-82075875	chr5_mat_hsa6:76056493-80734440	chr5_hap1_hsa6:58102322-61118632	chr5_hap1_hsa6:58602323-60567635	chr5_hap1_hsa6:58065206-62384779	chr5_hap1_hsa6:58565207-61827794
chr6_mat_hsa7:75282957-79052645	chr6_mat_hsa7:78077419-78093189	chr6_hap1_hsa7:68001662-71470962	chr6_hap1_hsa7:68860121-70510584	chr6_mat_hsa7:65546712-73013323	chr6_mat_hsa7:66346464-72073043	chr6_hap1_hsa7:22602365-30231134	chr6_hap1_hsa7:23148637-24579216	chr6_hap1_hsa7:22979350-24940200	chr6_hap1_hsa7:23525626-24440123
chr7_mat_hsa8:56677542-58119996	chr7_mat_hsa8:57180098-57202796	chr7_hap1_hsa8:51366567-55639042	chr7_hap1_hsa8:52279751-54529873	chr7_mat_hsa8:79611706-83500973	chr7_mat_hsa8:80521588-82825075	chr7_hap1_hsa8:43616853-51607930	chr7_hap1_hsa8:44388892-51014603	chr7_hap1_hsa8:45315285-54188532	chr7_hap1_hsa8:46111166-53587673
chr8_mat_hsa10:51255534-54653725	chr8_mat_hsa10:51914538-53551261	chr8_hap1_hsa10:51654881-54760316	chr8_hap1_hsa10:52315186-53713791	chr8_mat_hsa10:72814209-78805342	chr8_mat_hsa10:73452612-77591920	chr8_hap1_hsa10:38446556-45993985	chr8_hap1_hsa10:40994897-45436396	chr8_hap1_hsa10:38059788-47848800	chr8_hap1_hsa10:39824810-47282665
chr9_mat_hsa11:51470080-57566119	chr9_mat_hsa11:52444063-55992854	chr9_hap1_hsa11:53276997-57732089	chr9_hap1_hsa11:54277466-56548438	chr9_mat_hsa11:58883560-65243855	chr9_mat_hsa11:59853527-64020136	chr9_hap1_hsa11:46864887-52894736	chr9_hap1_hsa11:47364887-49775863	chr9_hap1_hsa11:46733479-54145046	chr9_hap1_hsa11:47233479-49357755
